IE_XML_ID;IE_NAME;IE_ID;IE_ACTIVE;IE_ACTIVE_FROM;IE_ACTIVE_TO;IE_PREVIEW_PICTURE;IE_PREVIEW_TEXT;IE_PREVIEW_TEXT_TYPE;IE_DETAIL_PICTURE;IE_DETAIL_TEXT;IE_DETAIL_TEXT_TYPE;IE_CODE;IE_SORT;IE_TAGS;IP_PROP28;IC_GROUP0;IC_GROUP1;IC_GROUP2
344;Базовая практика;344;Y;;;;;text;;;text;;500;;/upload/iblock/717/Put_k_uspehu.pdf;Базы практик;;
345;Документ по практике;345;Y;;;;;text;;;text;;500;;/upload/iblock/598/Resume_dlya_slushitelya.doc;Документы по практике;;
