IE_XML_ID;IE_NAME;IE_ID;IE_ACTIVE;IE_ACTIVE_FROM;IE_ACTIVE_TO;IE_PREVIEW_PICTURE;IE_PREVIEW_TEXT;IE_PREVIEW_TEXT_TYPE;IE_DETAIL_PICTURE;IE_DETAIL_TEXT;IE_DETAIL_TEXT_TYPE;IE_CODE;IE_SORT;IE_TAGS;IP_PROP29;IC_GROUP0;IC_GROUP1;IC_GROUP2
347;Анализ компетенций и заработной платы по должностям и специальностям;347;Y;;;;;text;;;text;;500;;/upload/iblock/737/Titulniy_list.doc;;;
346;Как составить резюме;346;Y;;;;;text;;;text;;500;;/upload/iblock/cd0/Dokumenti_dlya_postupleniya.docx;Полезные документы;;
